genres,t1,t2,p score,ALOTC score
Alan_Parsons_Project,124.44629717970749,140.37306706623554,0.18740241363437612,0.25
Songs,101.75035925000786,125.14763784992394,0.5004763698286333,0.46153846153846156
Bjork,110.23062319671949,133.65835947035382,0.20882389206679686,0.25
Asian_Dub_Foundation,103.05717890263219,149.04978619310887,0.23066007039309705,0.3076923076923077
Alirio Diaz,119.21070772058823,137.73780348198267,0.12500788272312938,0.25
Bebel_Gilberto,119.160210031182,138.48597067508973,0.150249930289087,0.2
charles_mingus,124.52199835526316,130.9077430403655,0.6666666666666666,0.6666666666666666
Santana,117.61595232213439,133.9999112215909,0.8333653756675888,1.0
Manu_Chao,123.23311047676282,147.77688419117646,0.16656994163362793,0.3333333333333333
aphex_twin,108.11191132545814,129.36387733717345,0.6371277622346079,0.6363636363636364
Billie Holiday CD1,117.33466045673076,123.169921875,0.6,0.6
John Frusciante,123.20692145846527,139.56170835199535,0.3610932610616007,0.3888888888888889
Classic,116.892987277668,125.85601076555024,0.0,0.0
Carlinhos_Brown,114.97367532689414,130.08624979588973,0.4668980738812118,0.4666666666666667
john_coltrane,117.45383522727273,123.046875,1.0,1.0
GUITARE+,107.60340035840161,112.41653523980615,0.625,0.625
Xatzidakis,114.45623674691969,125.69572820531194,0.31261095108016623,0.375
Vangelis,96.80145490849877,117.578125,0.6665944345646084,0.6666666666666666
Bernstein_conducts_Stravinsky,123.542057943752,133.50690424168323,0.2,0.2
Nina Pastori,102.36553485576923,121.83259662828948,0.7496319874577722,1.0
Bach - Walcha,126.63482299416803,138.18988107541162,0.1111111111111111,0.1111111111111111
Papakonstantinou,110.5531647262851,118.39153367690211,0.21035595333201362,0.2631578947368421
Bela_Bartok,127.37668287307821,134.0611199925703,0.0,0.0
Olivier Chassain,142.99085378037086,151.73002656523164,0.25,0.25
Jose' Merce',116.98326697716345,145.25467722039474,0.4996155691702389,0.75
more greek,117.46482622187669,131.82796982387222,0.19027456028425624,0.2391304347826087
greek,117.3979313086276,131.27538673013768,0.26925134563279596,0.3076923076923077
Kocani Orkester,122.25811298076923,128.43922334558823,0.0,0.0
Bach,108.79980025843481,140.9803074625283,0.4004448725227542,0.6
Tomatito,106.94584160744148,135.1807063902864,0.6004234012829655,0.8
Paulinho da Viola & Elton Medeiros,109.1306318143408,137.19333019031612,0.36378020148255596,0.5454545454545454
Teresa Cristina,99.95445321209587,130.15972698506087,0.4674068995376293,0.8
Fado,105.94787163414033,128.78281245936915,0.3003198525266486,0.5
Genesis,95.51017515120968,119.06594669117646,0.5,0.5
Femi_Kuti,98.7176465102785,133.61919202302633,0.5002845100911707,0.3333333333333333
Aviador_Dro,96.09438344030272,122.76273642676541,0.5270866906927748,0.631578947368421
"Elton Medeiros, Nelson Sargento & Galo Preto",106.6253645939886,127.48247949163779,0.7815707881753239,1.0
Cabaret_Voltaire,108.59609928120337,136.91372588317824,0.4550913313130197,0.36363636363636365
Abba,114.65351414753589,128.33196597574144,0.8613146900795925,0.8333333333333334
Autechre,105.95877034731622,135.7274209741105,0.3891488435948703,0.2222222222222222
