,0,1,2,3
Alan_Parsons_Project,"[130.6280521013822, 174.35494803048513, (0.06273933844123997-0.009015988078227594j)]","[130.6280521013822, 174.35494803048513, 0j]","[130.6280521013822, 174.35494803048513, 0j]","[130.6280521013822, 174.35494803048513, 0j]"
Songs,"[138.21086328970307, 185.64873609581173, (0.07611587627811191+0.004079383922457819j)]","[138.21086328970307, 185.64873609581173, (0.07692307692307693+0j)]","[138.21086328970307, 185.64873609581173, 0j]","[138.21086328970307, 185.64873609581173, 0j]"
Bjork,"[154.70056156836583, 189.82612487466577, (0.1682086613198969+0.0060991662633532355j)]","[154.70056156836583, 189.82612487466577, (0.12657649146755454-0.013331290269943464j)]","[154.70056156836583, 189.82612487466577, 0j]","[154.70056156836583, 189.82612487466577, 0j]"
Asian_Dub_Foundation,"[112.66088309442854, 174.28477140965649, (0.07692307692307693+0j)]","[112.66088309442854, 174.28477140965649, 0j]","[112.66088309442854, 174.28477140965649, 0j]","[112.66088309442854, 174.28477140965649, 0j]"
Alirio Diaz,"[136.39783211962668, 181.04176240808823, (0.12534998566767194-0.020179810338740937j)]","[136.39783211962668, 181.04176240808823, (0.12632476525990152-0.0072382591130229195j)]","[136.39783211962668, 181.04176240808823, 0j]","[136.39783211962668, 181.04176240808823, 0j]"
Bebel_Gilberto,"[144.32144721027328, 177.384186181266, 0j]","[144.32144721027328, 177.384186181266, (0.04928957894173046-0.00797421644589117j)]","[144.32144721027328, 177.384186181266, 0j]","[144.32144721027328, 177.384186181266, 0j]"
charles_mingus,"[169.29481641905298, 207.65211135945856, (0.2481035095241544+0.0020555535522480523j)]","[169.29481641905298, 207.65211135945856, 0j]","[169.29481641905298, 207.65211135945856, 0j]","[169.29481641905298, 207.65211135945856, 0j]"
Santana,"[136.14289656929347, 182.80192492479947, (0.16892584447660683-0.02321281720221328j)]","[136.14289656929347, 182.80192492479947, 0j]","[136.14289656929347, 182.80192492479947, 0j]","[136.14289656929347, 182.80192492479947, 0j]"
Manu_Chao,"[155.90110212599453, 204.07522101151315, (0.0848440124739515+0.010075810246465469j)]","[155.90110212599453, 204.07522101151315, (0.08470983966365608-0.011524761309616341j)]","[155.90110212599453, 204.07522101151315, 0j]","[155.90110212599453, 204.07522101151315, 0j]"
aphex_twin,"[125.7205428781193, 183.92791619750759, (0.09095798781647693-0.001527243053226631j)]","[125.7205428781193, 183.92791619750759, 0j]","[125.7205428781193, 183.92791619750759, 0j]","[125.7205428781193, 183.92791619750759, 0j]"
Billie Holiday CD1,"[140.54710362667225, 149.4520834125114, (0.29814364609740335-0.01301309313108947j)]","[140.54710362667225, 149.4520834125114, 0j]","[140.54710362667225, 149.4520834125114, 0j]","[140.54710362667225, 149.4520834125114, 0j]"
John Frusciante,"[159.4786936504825, 207.1810186369962, (0.11081747655674194+0.006299555831461193j)]","[159.4786936504825, 207.1810186369962, (0.0829113833620409+0.003957503669428644j)]","[159.4786936504825, 207.1810186369962, 0j]","[159.4786936504825, 207.1810186369962, 0j]"
Classic,"[204.606916520979, 222.34484265734267, 0j]","[204.606916520979, 222.34484265734267, (0.21306094508812887+0.009128215753124674j)]","[204.606916520979, 222.34484265734267, 0j]","[204.606916520979, 222.34484265734267, 0j]"
Carlinhos_Brown,"[117.63296145687087, 153.30903608452948, 0j]","[117.63296145687087, 153.30903608452948, (0.033248448226578874+0.004869867985613315j)]","[117.63296145687087, 153.30903608452948, 0j]","[117.63296145687087, 153.30903608452948, 0j]"
john_coltrane,"[129.19921875, 198.76802884615384, 0j]","[129.19921875, 198.76802884615384, 0j]","[129.19921875, 198.76802884615384, 0j]","[129.19921875, 198.76802884615384, 0j]"
GUITARE+,"[152.53830922344454, 172.16209998497595, (0.18836925233509666+0.007990242931340194j)]","[152.53830922344454, 172.16209998497595, (0.06333357987618671-0.00823328659228489j)]","[152.53830922344454, 172.16209998497595, 0j]","[152.53830922344454, 172.16209998497595, 0j]"
Xatzidakis,"[145.72108091027195, 194.6645814369167, (0.15682999234950626+0.0075071616751079435j)]","[145.72108091027195, 194.6645814369167, (0.12406882476993773-0.014562792249246812j)]","[145.72108091027195, 194.6645814369167, 0j]","[145.72108091027195, 194.6645814369167, 0j]"
Vangelis,"[189.8378710284281, 239.2578125, 0j]","[189.8378710284281, 239.2578125, 0j]","[189.8378710284281, 239.2578125, 0j]","[189.8378710284281, 239.2578125, 0j]"
Bernstein_conducts_Stravinsky,"[160.05281862903104, 195.8137646895237, (0.15129789977930305+0.011309875499101743j)]","[160.05281862903104, 195.8137646895237, (0.09998895798112331+0.01039950908833664j)]","[160.05281862903104, 195.8137646895237, 0j]","[160.05281862903104, 195.8137646895237, 0j]"
Nina Pastori,"[117.29577105978261, 150.21073190789474, 0j]","[117.29577105978261, 150.21073190789474, 0j]","[117.29577105978261, 150.21073190789474, 0j]","[117.29577105978261, 150.21073190789474, 0j]"
Bach - Walcha,"[191.99782151442307, 227.84705528846155, (0.1111111111111111+0j)]","[191.99782151442307, 227.84705528846155, (0.22308868990050426+0.0014288990019740285j)]","[191.99782151442307, 227.84705528846155, 0j]","[191.99782151442307, 227.84705528846155, 0j]"
Papakonstantinou,"[143.00063578537612, 189.68453924712296, (0.0783166448707583+0.0009554557516677783j)]","[143.00063578537612, 189.68453924712296, (0.13127823847341594-0.0019698434146748164j)]","[143.00063578537612, 189.68453924712296, 0j]","[143.00063578537612, 189.68453924712296, 0j]"
Bela_Bartok,"[213.97843144881614, 243.22731711647728, (0.18762160052240937+0.00016851669696719426j)]","[213.97843144881614, 243.22731711647728, (0.1848236218069538+0.016249660814080417j)]","[213.97843144881614, 243.22731711647728, 0j]","[213.97843144881614, 243.22731711647728, 0j]"
Olivier Chassain,"[121.7507826009758, 142.72943996490642, 0j]","[121.7507826009758, 142.72943996490642, 0j]","[121.7507826009758, 142.72943996490642, 0j]","[121.7507826009758, 142.72943996490642, 0j]"
Jose' Merce',"[184.11793428308823, 198.48568789608828, (0.3737080039217747+0.01725144886452977j)]","[184.11793428308823, 198.48568789608828, (0.12642705713935862+0.015645713582988694j)]","[184.11793428308823, 198.48568789608828, 0j]","[184.11793428308823, 198.48568789608828, 0j]"
more greek,"[144.69133879183778, 180.4834093533063, (0.14144720073575212+0.000292234455655991j)]","[144.69133879183778, 180.4834093533063, (0.15221641339995215-0.0013760011912423255j)]","[144.69133879183778, 180.4834093533063, 0j]","[144.69133879183778, 180.4834093533063, 0j]"
greek,"[134.54141349479326, 168.48206522200877, (0.11606405590513115+0.007878362350346915j)]","[134.54141349479326, 168.48206522200877, (0.07680274681708+0.004487400187346806j)]","[134.54141349479326, 168.48206522200877, 0j]","[134.54141349479326, 168.48206522200877, 0j]"
Kocani Orkester,"[143.99339350569608, 167.19898897058823, (0.25498315879125594+0.03355352186165543j)]","[143.99339350569608, 167.19898897058823, 0j]","[143.99339350569608, 167.19898897058823, 0j]","[143.99339350569608, 167.19898897058823, 0j]"
