,0,1,2,3
Alan_Parsons_Project,"[124.44629717970749, 140.37306706623554, 0.5625975863656238]","[124.44629717970749, 140.37306706623554, 0.125]","[124.44629717970749, 140.37306706623554, 0.0]","[124.44629717970749, 140.37306706623554, 0.0]"
Songs,"[101.75035925000786, 125.14763784992394, 0.03834219447774799]","[101.75035925000786, 125.14763784992394, 0.0]","[101.75035925000786, 125.14763784992394, 0.0]","[101.75035925000786, 125.14763784992394, 0.0]"
Bjork,"[110.23062319671949, 133.65835947035382, 0.4174450547269563]","[110.23062319671949, 133.65835947035382, 0.0]","[110.23062319671949, 133.65835947035382, 0.0]","[110.23062319671949, 133.65835947035382, 0.0]"
Asian_Dub_Foundation,"[103.05717890263219, 149.04978619310887, 0.3455221682532323]","[103.05717890263219, 149.04978619310887, 0.0]","[103.05717890263219, 149.04978619310887, 0.0]","[103.05717890263219, 149.04978619310887, 0.0]"
Alirio Diaz,"[119.21070772058823, 137.73780348198267, 0.12556279556218164]","[119.21070772058823, 137.73780348198267, 0.0]","[119.21070772058823, 137.73780348198267, 0.0]","[119.21070772058823, 137.73780348198267, 0.0]"
Bebel_Gilberto,"[119.160210031182, 138.48597067508973, 0.4994288567622691]","[119.160210031182, 138.48597067508973, 0.0]","[119.160210031182, 138.48597067508973, 0.1]","[119.160210031182, 138.48597067508973, 0.0]"
charles_mingus,"[124.52199835526316, 130.9077430403655, 0.3333333333333333]","[124.52199835526316, 130.9077430403655, 0.0]","[124.52199835526316, 130.9077430403655, 0.0]","[124.52199835526316, 130.9077430403655, 0.0]"
Santana,"[117.61595232213439, 133.9999112215909, 0.0]","[117.61595232213439, 133.9999112215909, 0.0]","[117.61595232213439, 133.9999112215909, 0.0]","[117.61595232213439, 133.9999112215909, 0.0]"
Manu_Chao,"[123.23311047676282, 147.77688419117646, 0.5832700372479445]","[123.23311047676282, 147.77688419117646, 0.0]","[123.23311047676282, 147.77688419117646, 0.0]","[123.23311047676282, 147.77688419117646, 0.0]"
aphex_twin,"[108.11191132545814, 129.36387733717345, 0.09090909090909091]","[108.11191132545814, 129.36387733717345, 0.0]","[108.11191132545814, 129.36387733717345, 0.0]","[108.11191132545814, 129.36387733717345, 0.0]"
Billie Holiday CD1,"[117.33466045673076, 123.169921875, 0.4]","[117.33466045673076, 123.169921875, 0.0]","[117.33466045673076, 123.169921875, 0.0]","[117.33466045673076, 123.169921875, 0.0]"
John Frusciante,"[123.20692145846527, 139.56170835199535, 0.4167599681772319]","[123.20692145846527, 139.56170835199535, 0.0]","[123.20692145846527, 139.56170835199535, 0.0]","[123.20692145846527, 139.56170835199535, 0.0]"
Classic,"[116.892987277668, 125.85601076555024, 0.07143014317011838]","[116.892987277668, 125.85601076555024, 0.21430389958926366]","[116.892987277668, 125.85601076555024, 0.0]","[116.892987277668, 125.85601076555024, 0.0]"
Carlinhos_Brown,"[114.97367532689414, 130.08624979588973, 0.20006879001696345]","[114.97367532689414, 130.08624979588973, 0.0]","[114.97367532689414, 130.08624979588973, 0.0]","[114.97367532689414, 130.08624979588973, 0.0]"
john_coltrane,"[117.45383522727273, 123.046875, 0.0]","[117.45383522727273, 123.046875, 0.0]","[117.45383522727273, 123.046875, 0.0]","[117.45383522727273, 123.046875, 0.0]"
