,0,1,2,3,4
Alan_Parsons_Project,0.0,0.0,0.0,0.0,0.0
Songs,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693
Bjork,0.25,0.08333333333333333,0.25,0.0,0.0
Asian_Dub_Foundation,0.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693
Alirio Diaz,0.0,0.0,0.0,0.0,0.0
Bebel_Gilberto,0.1,0.0,0.1,0.1,0.1
charles_mingus,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
Santana,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
Manu_Chao,0.3333333333333333,0.0,0.0,0.0,0.0
aphex_twin,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0
Billie Holiday CD1,0.0,0.0,0.2,0.2,0.0
John Frusciante,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0
Classic,0.0,0.0,0.0,0.0,0.0
Carlinhos_Brown,0.0,0.3333333333333333,0.0,0.13333333333333333,0.13333333333333333
john_coltrane,0.0,0.0,1.0,0.0,0.0
GUITARE+,0.125,0.0,0.125,0.0,0.25
Xatzidakis,0.0625,0.0625,0.0625,0.125,0.0
Vangelis,0.0,0.0,0.0,0.0,0.0
Bernstein_conducts_Stravinsky,0.0,0.1,0.0,0.0,0.1
Nina Pastori,0.25,0.0,0.0,0.0,0.0
Bach - Walcha,0.0,0.0,0.0,0.0,0.0
Papakonstantinou,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0
Bela_Bartok,0.0,0.0,0.0,0.0,0.125
Olivier Chassain,0.0,0.0,0.0,0.0,0.5
Jose' Merce',0.5,0.0,0.25,0.0,0.0
more greek,0.010869565217391304,0.010869565217391304,0.08695652173913043,0.06521739130434782,0.0
greek,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0
Kocani Orkester,0.0,0.0,0.25,0.0,0.0
Bach,0.2,0.0,0.2,0.0,0.1
Tomatito,0.2,0.0,0.0,0.2,0.0
Paulinho da Viola & Elton Medeiros,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0
Teresa Cristina,0.26666666666666666,0.2,0.13333333333333333,0.06666666666666667,0.0
Fado,0.0,0.0,0.0,0.1,0.1
Genesis,0.0,0.5,0.0,0.0,0.0
Femi_Kuti,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Aviador_Dro,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.10526315789473684,0.10526315789473684
"Elton Medeiros, Nelson Sargento & Galo Preto",0.125,0.125,0.3125,0.125,0.0
Cabaret_Voltaire,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182
Abba,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.05555555555555555
Autechre,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
