,0,1,2,3,4
Alan_Parsons_Project,0.125,0.25,0.25,0.25,0.25
Songs,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156
Bjork,0.25,0.25,0.25,0.25,0.25
Asian_Dub_Foundation,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.3076923076923077
Alirio Diaz,0.0,0.0,0.25,0.25,0.25
Bebel_Gilberto,0.2,0.2,0.2,0.2,0.2
charles_mingus,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Santana,1.0,1.0,1.0,1.0,1.0
Manu_Chao,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5
aphex_twin,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Billie Holiday CD1,0.6,0.6,0.6,0.6,0.6
John Frusciante,0.2777777777777778,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3333333333333333
Classic,0.0,0.0,0.0,0.0,0.0
Carlinhos_Brown,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
john_coltrane,1.0,1.0,1.0,1.0,1.0
GUITARE+,0.625,0.625,0.625,0.625,0.625
Xatzidakis,0.3125,0.375,0.375,0.375,0.375
Vangelis,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
Bernstein_conducts_Stravinsky,0.2,0.2,0.2,0.25,0.25
Nina Pastori,1.0,1.0,1.0,1.0,1.0
Bach - Walcha,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
Papakonstantinou,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421
Bela_Bartok,0.0,0.0,0.0,0.0,0.0
Olivier Chassain,0.25,0.25,0.25,0.25,0.25
Jose' Merce',0.25,0.75,0.75,0.75,0.75
more greek,0.20652173913043478,0.2391304347826087,0.2391304347826087,0.25,0.25
greek,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
Kocani Orkester,0.0,0.0,0.0,0.25,0.25
Bach,0.4,0.5,0.6,0.6,0.6
Tomatito,0.8,0.8,0.8,0.8,0.8
Paulinho da Viola & Elton Medeiros,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454
Teresa Cristina,0.7333333333333333,0.8,0.8,0.8,0.8
Fado,0.3,0.5,0.5,0.5,0.5
Genesis,0.5,0.5,0.5,0.5,0.5
Femi_Kuti,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Aviador_Dro,0.631578947368421,0.6842105263157895,0.631578947368421,0.631578947368421,0.6842105263157895
"Elton Medeiros, Nelson Sargento & Galo Preto",0.875,1.0,1.0,1.0,1.0
Cabaret_Voltaire,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365
Abba,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.8333333333333334
Autechre,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333
