, F-score
001,0.4937142857142857
002,0.930841121495327
003,0.9492600422832981
004,0.9866888519134775
005,0.7200956937799042
006,0.8903225806451613
007,0.9221902017291066
008,0.4170854271356784
009,0.5251396648044693
010,0.5672844480257857
011,0.5943152454780362
012,0.5053191489361701
013,0.45964642582628745
014,0.5953627524308153
015,0.5331529093369417
016,0.7697594501718212
017,0.8017817371937638
018,0.31198686371100165
019,0.8121546961325967
020,0.5082765335929893
021,0.491698595146871
022,0.9396551724137933
023,0.23076923076923075
